Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
172,Georges Niang,PF,30,CLE,24,1,540,72,177,0.407,37,104,0.356,35,73,0.479,0.511,12,13,0.923,9,84,93,30,7,2,16,55,193,niangge01
173,David Roddy,PF,22,MEM,23,8,560,77,185,0.416,24,80,0.3,53,105,0.505,0.481,15,23,0.652,24,76,100,28,16,8,22,34,193,roddyda01
174,Alex Caruso,SG,29,CHI,20,9,470,67,125,0.536,32,69,0.464,35,56,0.625,0.664,24,31,0.774,25,43,68,46,26,16,27,45,190,carusal01
175,Dereck Lively II,C,19,DAL,21,20,544,87,118,0.737,0,2,0,87,116,0.75,0.737,16,27,0.593,62,108,170,26,14,34,26,67,190,livelde01
176,Josh Hart,SF,28,NYK,23,5,658,75,158,0.475,26,69,0.377,49,89,0.551,0.557,12,17,0.706,25,112,137,67,23,6,21,46,188,hartjo01
177,Cedi Osman,SF,28,SAS,23,1,440,70,152,0.461,31,84,0.369,39,68,0.574,0.563,13,20,0.65,11,45,56,38,10,5,15,37,184,osmande01
178,Tyler Herro,SG,24,MIA,8,8,272,68,152,0.447,25,61,0.41,43,91,0.473,0.53,22,25,0.88,3,37,40,37,11,0,20,13,183,herroty01
179,Rui Hachimura,PF,25,LAL,16,2,375,69,140,0.493,19,46,0.413,50,94,0.532,0.561,23,30,0.767,12,47,59,18,12,4,16,27,180,hachiru01
180,Simone Fontecchio,SF,28,UTA,22,9,429,63,145,0.434,38,101,0.376,25,44,0.568,0.566,15,18,0.833,18,39,57,27,9,12,23,35,179,fontesi01
181,Royce O'Neale,SF,30,BRK,22,5,619,60,155,0.387,52,129,0.403,8,26,0.308,0.555,7,12,0.583,16,98,114,74,17,17,18,60,179,onealro01
182,Chris Paul,PG,38,GSW,20,7,533,63,155,0.406,24,70,0.343,39,85,0.459,0.484,28,31,0.903,6,67,73,148,29,1,23,35,178,paulch01
183,Marcus Sasser,PG,23,DET,23,0,387,70,149,0.47,29,71,0.408,41,78,0.526,0.567,9,9,1,3,37,40,61,14,3,17,31,178,sassema01
184,Kelly Oubre Jr.,SF,28,PHI,12,5,316,66,128,0.516,19,52,0.365,47,76,0.618,0.59,26,35,0.743,15,40,55,9,16,4,10,26,177,oubreke01
185,Jalen Duren,C,20,DET,14,13,404,80,127,0.63,0,2,0,80,125,0.64,0.63,16,28,0.571,47,106,153,35,8,19,38,48,176,durenja01
186,Alec Burks,SG,32,DET,17,0,314,48,136,0.353,32,85,0.376,16,51,0.314,0.471,46,52,0.885,9,30,39,27,7,4,8,24,174,burksal01
187,Kelly Olynyk,C,32,UTA,22,3,468,58,105,0.552,18,39,0.462,40,66,0.606,0.638,35,39,0.897,37,88,125,84,17,4,42,63,169,olynyke01
188,Dyson Daniels,PG,20,NOP,25,13,621,65,165,0.394,17,71,0.239,48,94,0.511,0.445,20,30,0.667,28,87,115,76,38,10,29,48,167,daniedy01
189,Caleb Martin,SF,28,MIA,14,4,370,66,154,0.429,19,56,0.339,47,98,0.48,0.49,16,24,0.667,18,46,64,33,10,4,20,30,167,martica02
190,Cason Wallace,SG,20,OKC,22,5,490,65,110,0.591,25,48,0.521,40,62,0.645,0.705,12,15,0.8,11,41,52,28,14,11,11,38,167,wallaca01
191,Nic Claxton,C,24,BRK,14,14,385,73,113,0.646,1,1,1,72,112,0.643,0.65,19,32,0.594,45,84,129,20,7,33,9,35,166,claxtni01
192,Jabari Walker,SF,21,POR,22,0,400,62,136,0.456,12,45,0.267,50,91,0.549,0.5,28,36,0.778,34,74,108,16,17,9,21,51,164,walkeja01
193,Ziaire Williams,SF,22,MEM,21,8,426,57,149,0.383,24,74,0.324,33,75,0.44,0.463,24,27,0.889,13,71,84,27,10,5,24,38,162,willizi02
194,Christian Wood,PF,28,LAL,23,1,455,57,126,0.452,15,56,0.268,42,70,0.6,0.512,31,47,0.66,22,113,135,20,4,12,29,39,160,woodch01
195,Kyle Anderson,PF,30,MIN,22,0,522,60,129,0.465,2,18,0.111,58,111,0.523,0.473,36,52,0.692,17,66,83,86,18,19,33,31,158,anderky01
196,Danilo Gallinari,PF,35,WAS,21,0,329,52,117,0.444,17,55,0.309,35,62,0.565,0.517,37,44,0.841,10,54,64,29,5,3,11,24,158,gallida01
197,Jordan Goodwin,PG,25,PHO,24,0,432,58,146,0.397,22,67,0.328,36,79,0.456,0.473,20,23,0.87,26,65,91,55,18,7,21,31,158,goodwjo01
198,Tre Jones,PG,24,SAS,20,0,476,59,134,0.44,12,43,0.279,47,91,0.516,0.485,27,32,0.844,10,45,55,101,16,4,27,25,157,jonestr01
199,Nickeil Alexander-Walker,SG,25,MIN,22,11,525,57,141,0.404,32,93,0.344,25,48,0.521,0.518,9,15,0.6,10,36,46,58,19,16,26,44,155,alexani01
200,Goga Bitadze,C,24,ORL,21,18,441,60,102,0.588,1,5,0.2,59,97,0.608,0.593,33,46,0.717,45,81,126,39,14,35,14,51,154,bitadgo01
201,Kevin Love,PF,35,MIA,18,4,332,48,119,0.403,29,86,0.337,19,33,0.576,0.525,29,35,0.829,17,102,119,44,6,2,11,34,154,loveke01
202,Day'Ron Sharpe,C,22,BRK,23,0,359,62,111,0.559,0,5,0,62,106,0.585,0.559,30,49,0.612,56,97,153,21,9,17,26,50,154,sharpda01
203,Andre Drummond,C,30,CHI,25,0,331,60,122,0.492,0,1,0,60,121,0.496,0.492,33,56,0.589,77,96,173,15,25,9,26,41,153,drumman01
204,Cameron Payne,PG,29,MIL,24,2,406,57,122,0.467,29,68,0.426,28,54,0.519,0.586,9,10,0.9,1,30,31,60,9,2,21,48,152,payneca01
205,Josh Okogie,SG,25,PHO,23,11,491,45,108,0.417,14,51,0.275,31,57,0.544,0.481,46,60,0.767,38,40,78,27,22,12,19,31,150,okogijo01
206,Cam Reddish,SF,24,LAL,21,14,503,51,121,0.421,18,54,0.333,33,67,0.493,0.496,29,34,0.853,12,46,58,27,29,7,14,36,149,reddica01
207,Ochai Agbaji,SG,23,UTA,24,10,501,56,130,0.431,30,77,0.39,26,53,0.491,0.546,6,8,0.75,21,39,60,26,17,13,17,35,148,agbajoc01
208,Al Horford,C,37,BOS,20,8,527,57,117,0.487,26,73,0.356,31,44,0.705,0.598,8,8,1,33,101,134,54,10,19,20,34,148,horfoal01
209,Toumani Camara,PF,23,POR,22,13,570,55,145,0.379,17,67,0.254,38,78,0.487,0.438,20,29,0.69,44,59,103,26,20,13,24,64,147,camarto01
210,Dante Exum,PG,28,DAL,20,4,300,57,108,0.528,15,37,0.405,42,71,0.592,0.597,18,27,0.667,13,43,56,47,10,4,10,25,147,exumda01
211,Matisse Thybulle,SF,26,POR,22,11,528,52,108,0.481,36,85,0.424,16,23,0.696,0.648,6,8,0.75,9,32,41,24,34,17,17,26,146,thybuma01
212,Draymond Green,PF,33,GSW,15,15,377,51,104,0.49,18,42,0.429,33,62,0.532,0.577,25,30,0.833,22,61,83,87,6,11,36,45,145,greendr01
213,Precious Achiuwa,C,24,TOR,18,0,327,57,125,0.456,12,37,0.324,45,88,0.511,0.504,18,29,0.621,37,74,111,35,11,8,26,33,144,achiupr01
214,Torrey Craig,SF,33,CHI,25,7,535,52,125,0.416,25,68,0.368,27,57,0.474,0.516,15,19,0.789,47,78,125,28,16,10,16,65,144,craigto01
215,Ayo Dosunmu,SG,24,CHI,23,3,446,55,119,0.462,18,54,0.333,37,65,0.569,0.538,16,20,0.8,9,30,39,40,15,3,19,38,144,dosunay01
216,Drew Eubanks,C,26,PHO,23,0,395,58,99,0.586,2,2,1,56,97,0.577,0.596,26,31,0.839,32,68,100,30,5,23,27,46,144,eubandr01
217,Walker Kessler,C,22,UTA,16,9,400,64,116,0.552,2,11,0.182,62,105,0.59,0.56,12,22,0.545,52,79,131,13,6,40,21,37,142,kesslwa01
218,Chris Boucher,PF,31,TOR,22,0,312,47,107,0.439,14,42,0.333,33,65,0.508,0.505,33,40,0.825,27,54,81,8,7,12,10,37,141,bouchch01
219,Naji Marshall,SF,26,NOP,16,0,330,46,98,0.469,19,45,0.422,27,53,0.509,0.566,30,35,0.857,20,54,74,37,13,5,20,23,141,marshna01
220,Gary Harris,SG,29,ORL,18,3,393,47,106,0.443,27,75,0.36,20,31,0.645,0.571,19,24,0.792,9,25,34,33,16,5,9,27,140,harriga01
221,Jalen Smith,C,23,IND,14,0,216,53,75,0.707,14,21,0.667,39,54,0.722,0.8,20,27,0.741,20,57,77,12,5,4,15,29,140,smithja04
222,Quentin Grimes,SG,23,NYK,21,18,474,50,128,0.391,37,101,0.366,13,27,0.481,0.535,2,5,0.4,4,25,29,25,14,0,12,35,139,grimequ01
223,Aaron Holiday,PG,27,HOU,19,1,345,52,109,0.477,25,56,0.446,27,53,0.509,0.592,10,12,0.833,5,31,36,38,9,2,9,36,139,holidaa01
224,Doug McDermott,SF,32,SAS,21,0,350,47,103,0.456,37,79,0.468,10,24,0.417,0.636,6,8,0.75,3,21,24,36,8,2,13,25,137,mcderdo01
225,Brandin Podziemski,SG,20,GSW,17,0,335,53,111,0.477,19,43,0.442,34,68,0.5,0.563,12,19,0.632,24,58,82,41,9,2,19,29,137,podzibr01
226,Marcus Smart,PG,29,MEM,11,11,329,51,119,0.429,18,61,0.295,33,58,0.569,0.504,17,21,0.81,3,24,27,55,22,4,37,35,137,smartma01
227,Shake Milton,SG,27,MIN,22,0,363,45,118,0.381,11,44,0.25,34,74,0.459,0.428,34,41,0.829,5,36,41,35,14,3,23,35,135,miltosh01
228,Payton Pritchard,PG,26,BOS,22,0,440,49,129,0.38,27,84,0.321,22,45,0.489,0.484,10,13,0.769,20,49,69,63,9,1,12,23,135,pritcpa01
229,Jevon Carter,PG,28,CHI,25,0,353,52,134,0.388,30,83,0.361,22,51,0.431,0.5,0,1,0,4,14,18,31,13,7,15,28,134,carteje01
230,Derrick Rose,PG,35,MEM,14,6,275,52,118,0.441,10,30,0.333,42,88,0.477,0.483,19,21,0.905,7,22,29,50,7,2,21,18,133,rosede01
231,Julian Strawther,SF,21,DEN,22,0,295,46,116,0.397,27,77,0.351,19,39,0.487,0.513,13,18,0.722,1,29,30,25,11,5,8,35,132,strawju01
232,Isaiah Hartenstein,C,25,NYK,23,0,426,52,91,0.571,1,3,0.333,51,88,0.58,0.577,25,37,0.676,62,69,131,28,20,16,19,64,130,harteis01
233,Scoot Henderson,PG,19,POR,13,5,336,51,144,0.354,12,54,0.222,39,90,0.433,0.396,16,24,0.667,12,24,36,55,6,3,42,55,130,hendesc01
234,Nick Richards,C,26,CHO,16,3,321,46,67,0.687,0,0,,46,67,0.687,0.687,38,47,0.809,30,73,103,6,6,21,18,40,130,richani01
235,Mitchell Robinson,C,25,NYK,21,21,613,58,98,0.592,0,0,,58,98,0.592,0.592,14,38,0.368,112,104,216,15,32,27,21,40,130,robinmi01
236,Jaden Hardy,SG,21,DAL,19,0,243,46,120,0.383,18,55,0.327,28,65,0.431,0.458,18,27,0.667,8,23,31,28,6,0,16,21,128,hardyja02
237,Malachi Flynn,PG,25,TOR,24,0,389,46,109,0.422,21,63,0.333,25,46,0.543,0.518,14,18,0.778,10,38,48,60,15,4,25,33,127,flynnma01
238,Jeff Green,PF,37,HOU,20,0,305,39,71,0.549,8,24,0.333,31,47,0.66,0.606,41,50,0.82,17,30,47,12,4,8,12,27,127,greenje02
239,Kevon Looney,C,27,GSW,23,20,507,52,90,0.578,0,0,,52,90,0.578,0.578,22,32,0.688,63,127,190,60,17,7,21,60,126,looneke01
240,Landry Shamet,SG,26,WAS,15,0,253,48,101,0.475,24,60,0.4,24,41,0.585,0.594,5,11,0.455,2,19,21,22,9,2,9,31,125,shamela01
241,Josh Green,SG,23,DAL,18,5,454,46,109,0.422,23,63,0.365,23,46,0.5,0.528,9,17,0.529,10,42,52,43,17,3,17,31,124,greenjo02
242,Tari Eason,PF,22,HOU,14,0,271,48,102,0.471,13,31,0.419,35,71,0.493,0.534,13,22,0.591,29,72,101,17,8,15,13,27,122,easonta01
243,T.J. McConnell,PG,31,IND,16,0,231,54,101,0.535,1,9,0.111,53,92,0.576,0.54,12,17,0.706,9,31,40,69,15,2,19,19,121,mccontj01
244,Matt Ryan,SF,26,NOP,13,1,298,38,83,0.458,32,68,0.471,6,15,0.4,0.651,13,14,0.929,5,25,30,14,5,1,16,24,121,ryanma01
245,Andrew Nembhard,PG,24,IND,17,2,308,52,114,0.456,9,37,0.243,43,77,0.558,0.496,6,9,0.667,9,20,29,70,15,1,22,33,119,nembhan01
246,Sasha Vezenkov,PF,28,SAC,19,0,275,45,101,0.446,23,62,0.371,22,39,0.564,0.559,6,8,0.75,11,37,48,9,10,6,7,23,119,vezenal01
247,Joe Ingles,SF,36,ORL,23,0,431,38,93,0.409,24,59,0.407,14,34,0.412,0.538,17,19,0.895,10,54,64,80,18,3,20,37,117,inglejo01
248,Jaden McDaniels,SF,23,MIN,12,11,287,51,91,0.56,13,35,0.371,38,56,0.679,0.632,2,3,0.667,7,20,27,14,6,4,12,40,117,mcdanja02
249,Robert Covington,SF-PF,33,TOT,22,6,391,38,84,0.452,19,51,0.373,19,33,0.576,0.565,21,24,0.875,27,53,80,20,30,15,8,42,116,covinro01
250,Terance Mann,SG,27,LAC,17,13,455,46,104,0.442,11,47,0.234,35,57,0.614,0.495,12,19,0.632,20,44,64,35,13,6,12,33,115,mannte01
251,Paul Reed,C,24,PHI,23,1,322,51,87,0.586,4,10,0.4,47,77,0.61,0.609,9,12,0.75,39,59,98,23,10,13,22,49,115,reedpa01
252,Anfernee Simons,SG,24,POR,4,4,138,36,85,0.424,17,40,0.425,19,45,0.422,0.524,25,25,1,4,5,9,20,3,1,10,10,114,simonan01
253,Jae'Sean Tate,SF,28,HOU,20,0,356,45,89,0.506,14,39,0.359,31,50,0.62,0.584,9,13,0.692,20,52,72,23,18,6,8,48,113,tateja01
254,Keita Bates-Diop,SF,28,PHO,21,8,373,39,98,0.398,10,39,0.256,29,59,0.492,0.449,23,32,0.719,20,45,65,19,12,15,6,20,111,bateske01
255,Patrick Beverley,PG,35,PHI,23,1,408,41,94,0.436,16,50,0.32,25,44,0.568,0.521,13,20,0.65,20,49,69,56,11,6,16,43,111,beverpa01
256,Trendon Watford,PF,23,BRK,16,0,232,45,84,0.536,5,16,0.313,40,68,0.588,0.565,16,17,0.941,17,40,57,28,9,3,17,34,111,watfotr01
257,Skylar Mays,PG,26,POR,14,5,273,43,106,0.406,12,41,0.293,31,65,0.477,0.462,11,13,0.846,4,20,24,63,11,2,15,19,109,mayssk01
258,Duop Reath,C,27,POR,14,4,222,37,91,0.407,20,59,0.339,17,32,0.531,0.516,14,16,0.875,12,23,35,19,9,4,10,29,108,reathdu01
259,Peyton Watson,SF,21,DEN,23,0,370,43,93,0.462,4,22,0.182,39,71,0.549,0.484,18,27,0.667,11,35,46,20,12,22,14,34,108,watsope01
260,Bones Hyland,PG,23,LAC,13,2,210,39,96,0.406,19,52,0.365,20,44,0.455,0.505,9,10,0.9,2,13,15,25,7,0,19,22,106,hylanbo01
261,MarJon Beauchamp,SF,23,MIL,20,0,323,40,83,0.482,16,37,0.432,24,46,0.522,0.578,9,16,0.563,13,36,49,17,5,4,14,34,105,beaucma01
262,Troy Brown Jr.,SF,24,MIN,18,3,289,34,78,0.436,19,53,0.358,15,25,0.6,0.558,17,20,0.85,12,41,53,18,6,2,9,16,104,browntr01
263,Pat Connaughton,SF,31,MIL,18,0,416,38,90,0.422,20,59,0.339,18,31,0.581,0.533,8,12,0.667,12,51,63,36,9,3,14,19,104,connapa01
264,Nicolas Batum,PF,35,TOT,17,11,409,36,63,0.571,24,49,0.49,12,14,0.857,0.762,7,11,0.636,15,46,61,33,10,13,7,33,103,batumni01
265,Bismack Biyombo,C,31,MEM,18,16,437,42,73,0.575,0,0,,42,73,0.575,0.575,19,36,0.528,42,78,120,36,6,21,23,53,103,biyombi01
266,Bojan Bogdanović,PF,34,DET,5,4,156,35,73,0.479,16,39,0.41,19,34,0.559,0.589,17,24,0.708,1,10,11,14,9,0,8,5,103,bogdabo02
267,Jonathan Isaac,PF,26,ORL,16,0,215,35,79,0.443,9,38,0.237,26,41,0.634,0.5,23,29,0.793,19,52,71,5,15,19,10,21,102,isaacjo01
268,Aaron Wiggins,SG,25,OKC,20,0,241,38,63,0.603,11,23,0.478,27,40,0.675,0.69,15,21,0.714,11,30,41,14,9,1,10,21,102,wiggiaa01
269,Anthony Black,PG,20,ORL,21,17,403,39,79,0.494,7,26,0.269,32,53,0.604,0.538,16,25,0.64,11,36,47,30,8,8,21,44,101,blackan01
270,Craig Porter Jr.,PG,23,CLE,14,1,200,40,73,0.548,3,7,0.429,37,66,0.561,0.568,18,26,0.692,3,23,26,34,9,6,14,15,101,portecr01
271,Haywood Highsmith,PF,27,MIA,15,14,334,35,82,0.427,16,49,0.327,19,33,0.576,0.524,11,13,0.846,9,32,41,23,17,11,15,32,97,highsha01
272,JaVale McGee,C,36,SAC,20,0,181,43,64,0.672,0,1,0,43,63,0.683,0.672,11,20,0.55,26,41,67,9,5,11,19,25,97,mcgeeja01
273,Isaac Okoro,SF,23,CLE,15,5,360,36,80,0.45,10,31,0.323,26,49,0.531,0.513,13,21,0.619,17,31,48,21,15,7,12,34,95,okorois01
274,Max Christie,SG,20,LAL,20,5,337,35,87,0.402,13,42,0.31,22,45,0.489,0.477,10,14,0.714,3,51,54,21,8,4,14,29,93,chrisma02
275,Nassir Little,PF,23,PHO,17,0,256,33,67,0.493,13,38,0.342,20,29,0.69,0.59,14,16,0.875,10,31,41,14,9,8,8,21,93,littlna01
276,Daniel Theis,C,31,TOT,13,0,214,39,85,0.459,6,15,0.4,33,70,0.471,0.494,5,10,0.5,23,29,52,12,5,12,7,32,89,theisda01
277,Yuta Watanabe,SF,29,PHO,18,0,320,28,80,0.35,23,66,0.348,5,14,0.357,0.494,9,13,0.692,10,29,39,10,7,7,14,29,88,watanyu01
278,Seth Curry,SG,33,DAL,19,3,231,31,77,0.403,17,44,0.386,14,33,0.424,0.513,8,9,0.889,10,19,29,18,11,3,5,14,87,curryse01
279,Dennis Smith Jr.,PG,26,BRK,13,0,229,34,80,0.425,7,22,0.318,27,58,0.466,0.469,12,14,0.857,11,28,39,45,11,3,12,28,87,smithde03
280,Chris Duarte,SF,26,SAC,20,5,272,29,75,0.387,14,45,0.311,15,30,0.5,0.48,14,18,0.778,4,32,36,18,12,2,11,48,86,duartch01
281,Trey Murphy III,SF,23,NOP,5,0,131,29,57,0.509,16,37,0.432,13,20,0.65,0.649,11,14,0.786,1,16,17,8,3,3,2,2,85,murphtr02
282,Xavier Tillman Sr.,C,25,MEM,12,5,245,36,87,0.414,8,27,0.296,28,60,0.467,0.46,5,14,0.357,17,35,52,20,18,9,11,21,85,tillmxa01
283,Isaiah Jackson,C,22,IND,14,0,187,32,51,0.627,0,1,0,32,50,0.64,0.627,20,28,0.714,19,40,59,11,7,21,7,40,84,jacksis01
284,Marcus Morris,PF,34,PHI,16,3,204,32,64,0.5,14,28,0.5,18,36,0.5,0.609,5,5,1,7,34,41,10,5,7,5,27,83,morrima03
285,Gary Payton II,SG,31,GSW,14,0,242,34,71,0.479,9,28,0.321,25,43,0.581,0.542,6,9,0.667,15,29,44,13,17,4,9,26,83,paytoga02
286,Dwight Powell,C,32,DAL,20,1,285,25,35,0.714,1,1,1,24,34,0.706,0.729,32,40,0.8,24,35,59,30,9,8,9,38,83,poweldw01
287,Bradley Beal,SG,30,PHO,5,5,147,29,67,0.433,8,20,0.4,21,47,0.447,0.493,16,23,0.696,3,17,20,18,4,2,14,13,82,bealbr01
288,Julian Champagnie,SF,22,SAS,16,5,219,27,77,0.351,20,56,0.357,7,21,0.333,0.481,8,11,0.727,5,22,27,14,7,10,13,15,82,champju02
289,Vince Williams Jr.,SG,23,MEM,15,1,247,22,50,0.44,15,40,0.375,7,10,0.7,0.59,19,23,0.826,10,48,58,17,5,7,8,34,78,willivi01
290,Thomas Bryant,C,26,MIA,15,3,187,32,61,0.525,0,3,0,32,58,0.552,0.525,13,16,0.813,19,41,60,9,6,4,13,19,77,bryanth01
291,Bryce McGowens,SG,21,CHO,17,1,268,25,55,0.455,15,34,0.441,10,21,0.476,0.591,11,14,0.786,5,25,30,15,6,2,9,25,76,mcgowbr01
292,Orlando Robinson,C,23,MIA,10,5,184,30,53,0.566,7,9,0.778,23,44,0.523,0.632,9,12,0.75,15,39,54,22,5,7,12,24,76,robinor01
293,Stanley Umude,SG,24,DET,15,0,155,20,44,0.455,14,27,0.519,6,17,0.353,0.614,21,23,0.913,3,25,28,8,4,5,10,24,75,umudest01
294,Omer Yurtseven,C,25,UTA,17,6,206,33,61,0.541,3,13,0.231,30,48,0.625,0.566,6,8,0.75,27,56,83,12,3,8,17,28,75,yurtsom01
295,Luke Kornet,C,28,BOS,17,0,220,32,43,0.744,0,0,,32,43,0.744,0.744,10,12,0.833,25,31,56,10,8,13,6,19,74,kornelu01
296,James Wiseman,C,22,DET,14,0,164,32,48,0.667,0,1,0,32,47,0.681,0.667,10,17,0.588,15,30,45,5,3,9,12,31,74,wisemja01
297,Jose Alvarado,PG,25,NOP,11,0,184,27,66,0.409,15,36,0.417,12,30,0.4,0.523,4,10,0.4,5,18,23,24,14,4,12,16,73,alvarjo01
298,Jae Crowder,PF,33,MIL,9,2,240,25,47,0.532,16,31,0.516,9,16,0.563,0.702,7,12,0.583,4,31,35,15,7,3,4,14,73,crowdja01
299,Zeke Nnaji,PF,23,DEN,20,0,211,26,53,0.491,3,8,0.375,23,45,0.511,0.519,18,29,0.621,24,24,48,9,3,12,11,29,73,nnajize01
300,Davion Mitchell,PG,25,SAC,17,3,255,25,73,0.342,12,43,0.279,13,30,0.433,0.425,10,11,0.909,2,16,18,40,5,2,13,24,72,mitchda01
301,Jaylin Williams,C,21,OKC,17,0,216,24,64,0.375,13,38,0.342,11,26,0.423,0.477,11,12,0.917,9,47,56,23,6,2,8,27,72,willija07
302,Trey Lyles,PF,28,SAC,9,0,180,23,54,0.426,13,39,0.333,10,15,0.667,0.546,12,19,0.632,9,40,49,15,1,2,7,17,71,lylestr01
303,Dean Wade,PF,27,CLE,17,10,352,23,62,0.371,19,56,0.339,4,6,0.667,0.524,5,8,0.625,21,52,73,14,17,4,8,37,70,wadede01
304,Kris Dunn,PG,29,UTA,16,1,194,28,60,0.467,7,16,0.438,21,44,0.477,0.525,6,10,0.6,7,28,35,41,9,1,16,24,69,dunnkr01
305,Justin Holiday,SG,34,DEN,14,4,203,26,43,0.605,16,30,0.533,10,13,0.769,0.791,0,0,,4,18,22,16,7,0,3,19,68,holidju01
306,Jaxson Hayes,C,23,LAL,22,0,243,27,42,0.643,0,4,0,27,38,0.711,0.643,12,22,0.545,10,29,39,8,5,9,15,44,66,hayesja02
307,Luke Kennard,SG,27,MEM,8,0,172,21,58,0.362,17,46,0.37,4,12,0.333,0.509,7,7,1,3,20,23,16,5,1,5,4,66,kennalu01
308,Eugene Omoruyi,SF,26,WAS,13,0,81,24,39,0.615,5,12,0.417,19,27,0.704,0.679,13,17,0.765,9,13,22,8,6,1,8,12,66,omorueu01
309,JT Thor,PF,21,CHO,19,1,305,26,66,0.394,12,37,0.324,14,29,0.483,0.485,0,4,0,14,36,50,10,6,6,5,24,64,thorjt01
310,Charles Bassey,C,23,SAS,19,0,205,29,40,0.725,0,1,0,29,39,0.744,0.725,5,6,0.833,23,53,76,21,8,17,15,31,63,bassech01
311,John Konchar,SF,27,MEM,19,2,335,23,63,0.365,13,39,0.333,10,24,0.417,0.468,4,6,0.667,20,55,75,27,14,13,8,19,63,konchjo01
312,Kenrich Williams,PF,29,OKC,12,0,181,25,47,0.532,10,22,0.455,15,25,0.6,0.638,3,10,0.3,8,25,33,18,5,2,3,22,63,willike04
313,Gradey Dick,SG,20,TOR,16,1,225,18,64,0.281,10,41,0.244,8,23,0.348,0.359,14,14,1,7,15,22,15,4,0,12,24,60,dickgr01
314,Kevin Knox,SF,24,DET,9,2,141,23,46,0.5,10,25,0.4,13,21,0.619,0.609,4,5,0.8,5,19,24,5,4,2,9,12,60,knoxke01
315,Chimezie Metu,C,26,PHO,14,2,147,23,46,0.5,8,21,0.381,15,25,0.6,0.587,6,8,0.75,6,22,28,5,6,5,5,18,60,metuch01
316,Jacob Gilyard,PG,25,MEM,17,7,249,20,46,0.435,17,41,0.415,3,5,0.6,0.62,1,1,1,6,12,18,48,9,1,8,16,58,gilyaja01
317,Markelle Fultz,PG,25,ORL,5,5,143,27,56,0.482,0,3,0,27,53,0.509,0.482,3,4,0.75,8,9,17,20,6,2,6,6,57,fultzma01
318,Isaiah Livers,PF,25,DET,10,1,210,19,59,0.322,12,41,0.293,7,18,0.389,0.424,7,9,0.778,4,17,21,12,4,0,10,16,57,liveris01
319,Keon Ellis,SG,24,SAC,15,2,174,18,42,0.429,11,34,0.324,7,8,0.875,0.56,8,13,0.615,4,15,19,13,8,5,10,16,55,elliske01
320,Ousmane Dieng,PF,20,OKC,13,0,149,19,44,0.432,10,30,0.333,9,14,0.643,0.545,6,8,0.75,6,19,25,14,1,0,5,9,54,diengou01
321,Théo Maledon,PG,22,CHO,13,1,200,19,66,0.288,5,30,0.167,14,36,0.389,0.326,11,12,0.917,4,19,23,28,7,0,15,18,54,maledth01
322,Ish Smith,PG,35,CHO,16,0,251,26,44,0.591,2,4,0.5,24,40,0.6,0.614,0,0,,4,22,26,42,6,1,23,18,54,smithis01
323,Tristan Thompson,PF,32,CLE,19,0,194,23,33,0.697,0,0,,23,33,0.697,0.697,7,17,0.412,26,34,60,14,2,8,9,15,53,thomptr01
324,A.J. Green,SG,24,MIL,16,0,124,18,41,0.439,15,35,0.429,3,6,0.5,0.622,1,1,1,2,12,14,12,0,0,0,10,52,greenaj01
325,DeAndre Jordan,C,35,DEN,9,1,134,20,34,0.588,0,0,,20,34,0.588,0.588,11,31,0.355,16,30,46,11,4,4,10,17,51,jordade01
326,Jaylen Nowell,SG,24,MEM,9,1,156,22,55,0.4,4,23,0.174,18,32,0.563,0.436,3,3,1,3,11,14,16,3,0,5,13,51,nowelja01
327,Larry Nance Jr.,C,31,NOP,14,0,211,21,42,0.5,3,11,0.273,18,31,0.581,0.536,4,8,0.5,18,40,58,10,9,4,13,19,49,nancela02
328,Danuel House Jr.,SF,30,PHI,12,0,144,16,38,0.421,7,21,0.333,9,17,0.529,0.513,9,12,0.75,4,11,15,10,5,1,9,10,48,houseda01
329,Wendell Carter Jr.,C,24,ORL,5,5,147,17,45,0.378,5,16,0.313,12,29,0.414,0.433,8,14,0.571,11,32,43,8,3,2,8,14,47,cartewe01
330,Jaden Springer,SG,21,PHI,13,0,143,16,44,0.364,4,14,0.286,12,30,0.4,0.409,10,14,0.714,12,10,22,12,7,6,13,22,46,sprinja01
331,Jared Butler,SG,23,WAS,11,0,95,15,33,0.455,5,16,0.313,10,17,0.588,0.53,10,12,0.833,0,8,8,21,7,1,9,14,45,butleja02
332,Mo Bamba,C,25,PHI,12,0,74,16,32,0.5,3,8,0.375,13,24,0.542,0.547,8,10,0.8,16,14,30,3,1,9,7,9,43,bambamo01
333,Johnny Davis,SG,21,WAS,14,0,128,19,40,0.475,1,3,0.333,18,37,0.486,0.488,4,5,0.8,8,11,19,5,7,1,5,10,43,davisjo06
334,Caleb Houstan,SF,21,ORL,14,0,132,13,29,0.448,12,27,0.444,1,2,0.5,0.655,4,4,1,3,17,20,6,2,0,3,11,42,houstca01
335,Trayce Jackson-Davis,PF,23,GSW,14,0,109,13,23,0.565,0,0,,13,23,0.565,0.565,15,25,0.6,11,12,23,6,3,8,6,19,41,jackstr02
