Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
76,Gordon Hayward,SF,33,CHO,21,21,685,125,267,0.468,20,54,0.37,105,213,0.493,0.506,56,73,0.767,24,81,105,100,25,9,43,40,326,haywago01
77,Kristaps Porziņģis,C,28,BOS,17,17,515,110,208,0.529,29,86,0.337,81,122,0.664,0.599,77,93,0.828,26,87,113,32,13,27,24,54,326,porzikr01
78,Spencer Dinwiddie,PG,30,BRK,22,22,696,105,262,0.401,48,143,0.336,57,119,0.479,0.492,66,84,0.786,12,75,87,141,18,3,39,38,324,dinwisp01
79,Malik Monk,SG,25,SAC,22,0,551,105,240,0.438,59,137,0.431,46,103,0.447,0.56,54,60,0.9,12,47,59,107,16,9,51,37,323,monkma01
80,Brook Lopez,C,35,MIL,24,24,739,119,241,0.494,43,124,0.347,76,117,0.65,0.583,40,50,0.8,35,83,118,36,20,71,22,65,321,lopezbr01
81,OG Anunoby,SF,26,TOR,20,20,658,120,248,0.484,52,132,0.394,68,116,0.586,0.589,26,38,0.684,21,66,87,49,22,13,34,50,318,anunoog01
82,John Collins,PF,26,UTA,22,22,683,121,251,0.482,31,81,0.383,90,170,0.529,0.544,45,60,0.75,59,130,189,20,14,21,31,62,318,collijo01
83,Collin Sexton,SG,25,UTA,24,1,506,107,235,0.455,28,85,0.329,79,150,0.527,0.515,75,85,0.882,21,45,66,81,12,4,46,42,317,sextoco01
84,Jordan Clarkson,SG,31,UTA,19,19,586,115,288,0.399,31,105,0.295,84,183,0.459,0.453,55,66,0.833,24,40,64,94,16,3,57,27,316,clarkjo01
85,Devin Vassell,SG,23,SAS,18,12,525,115,248,0.464,45,126,0.357,70,122,0.574,0.554,41,53,0.774,9,52,61,51,18,2,26,19,316,vassede01
86,Terry Rozier,SG,29,CHO,13,13,480,114,236,0.483,36,89,0.404,78,147,0.531,0.559,47,55,0.855,7,38,45,99,14,6,31,28,311,roziete01
87,De'Andre Hunter,SF,26,ATL,21,21,643,105,233,0.451,38,102,0.373,67,131,0.511,0.532,62,69,0.899,14,75,89,28,18,7,33,65,310,huntede01
88,Jaime Jaquez Jr.,SF,22,MIA,24,4,658,121,233,0.519,29,72,0.403,92,161,0.571,0.582,32,38,0.842,26,60,86,65,23,5,38,57,303,jaqueja01
89,Bennedict Mathurin,SF,21,IND,22,12,556,107,243,0.44,27,75,0.36,80,168,0.476,0.496,62,75,0.827,26,60,86,47,13,4,32,46,303,mathube01
90,Saddiq Bey,SF,24,ATL,23,11,707,110,226,0.487,41,109,0.376,69,117,0.59,0.577,39,49,0.796,50,90,140,29,25,4,26,36,300,beysa01
91,Zach Collins,C,26,SAS,23,20,637,112,236,0.475,25,88,0.284,87,148,0.588,0.528,50,62,0.806,45,93,138,83,15,14,60,77,299,colliza01
92,Eric Gordon,SG,35,PHO,21,16,673,114,246,0.463,57,143,0.399,57,103,0.553,0.579,14,17,0.824,7,35,42,60,22,12,33,32,299,gordoer01
93,Brandon Miller,SF,21,CHO,20,14,640,112,251,0.446,41,102,0.402,71,149,0.477,0.528,31,38,0.816,20,62,82,44,14,11,33,60,296,millebr02
